id,date,page_url,clicks,impressions,ctr,position,updated_at
148e9047-352b-45b3-9609-c1347213b0e1,2026-06-01,https://solisforest.com/ebooks,0,2,0,1,2026-06-03 03:00:03.723+00
2432799f-57b9-4653-b86c-e911e43e0a72,2026-06-01,https://solisforest.com/quiz,0,1,0,5,2026-06-03 03:00:03.723+00
c56f17fc-991f-4643-9790-07bf9d321c68,2026-06-02,https://solisforest.com/about,0,7,0,4.142857142857142,2026-06-04 03:00:03.934+00
7a9ef809-dd21-4c9d-b2a5-da31429f6cd8,2026-06-02,https://solisforest.com/blog,0,1,0,2,2026-06-04 03:00:03.934+00
f8e6094e-fc51-49af-9052-7a5780567fe9,2026-06-02,https://solisforest.com/ebooks,0,2,0,1,2026-06-04 03:00:03.934+00
dcad7f3d-b11c-4339-a06b-d641197ae346,2026-06-02,https://solisforest.com/quiz,0,1,0,5,2026-06-04 03:00:03.934+00
e577c466-fe83-4e15-8919-4958b32f8d4d,2026-06-03,https://solisforest.com/about,0,7,0,4.142857142857142,2026-06-05 03:00:03.523+00
d931720f-3321-4447-9c1d-4fd7e4fcb693,2026-06-03,https://solisforest.com/blog,0,1,0,2,2026-06-05 03:00:03.523+00
0811734c-7a18-4c63-858f-29d827e7ad59,2026-06-03,https://solisforest.com/ebooks,0,2,0,1,2026-06-05 03:00:03.523+00
15c3ab67-9615-4b09-b7a0-52bdb7b65b79,2026-06-03,https://solisforest.com/quiz,0,1,0,5,2026-06-05 03:00:03.523+00
74c08ec2-d2fc-4e01-a36a-22d130f28441,2026-06-04,https://solisforest.com/about,0,7,0,4.142857142857142,2026-06-06 03:00:03.307+00
67c70578-f746-4356-bc66-565c77853511,2026-06-04,https://solisforest.com/blog,0,1,0,2,2026-06-06 03:00:03.307+00
14511dc0-9164-4b85-a64e-f7564dfd1e2c,2026-06-04,https://solisforest.com/ebooks,0,2,0,1,2026-06-06 03:00:03.307+00
719f406c-f32a-4279-a97b-2023189c4413,2026-06-04,https://solisforest.com/quiz,0,1,0,5,2026-06-06 03:00:03.307+00
9ab38e1f-90af-427d-be5d-eedaf344286b,2026-06-05,https://solisforest.com/about,0,7,0,4.142857142857142,2026-06-07 03:00:04.636+00
9aa8e164-e183-4998-b102-6aa7b587918a,2026-06-05,https://solisforest.com/blog,0,1,0,2,2026-06-07 03:00:04.636+00
5f385205-5bac-4be6-990c-64c8fbf3f22d,2026-06-05,https://solisforest.com/ebooks,0,2,0,1,2026-06-07 03:00:04.636+00
d40d60be-1eab-4743-a977-46b6437ae7cb,2026-06-05,https://solisforest.com/quiz,0,1,0,5,2026-06-07 03:00:04.636+00
7f61e741-8c21-4f19-8b33-cfe1924ad902,2026-06-06,https://solisforest.com/about,0,7,0,4.142857142857142,2026-06-08 03:00:03.654+00
80bcb5d0-ba90-4527-9212-dbab466f3237,2026-06-06,https://solisforest.com/blog,0,1,0,2,2026-06-08 03:00:03.654+00
7a34c2f4-5ac6-4c35-ad24-10cc43a23cd6,2026-06-06,https://solisforest.com/ebooks,0,2,0,1,2026-06-08 03:00:03.654+00
3728f292-9992-4f52-a762-d5585e7ed5d9,2026-06-06,https://solisforest.com/quiz,0,1,0,5,2026-06-08 03:00:03.654+00
d14d6fec-074b-4569-9fbd-caf0adbe63d6,2026-06-07,https://solisforest.com/about,0,7,0,4.142857142857142,2026-06-09 03:00:04.106+00
0d4e8d8c-3798-4bd3-af7a-9adb3ba3f83f,2026-06-07,https://solisforest.com/blog,0,1,0,2,2026-06-09 03:00:04.106+00
57c48fee-d9b0-456f-b5fd-e3a5f962360b,2026-06-07,https://solisforest.com/ebooks,0,2,0,1,2026-06-09 03:00:04.106+00
076f673b-e8af-4f22-826c-9bbc184f74d6,2026-06-07,https://solisforest.com/quiz,0,1,0,5,2026-06-09 03:00:04.106+00
072d6a02-975f-40ee-9cd3-0df7d90c6e64,2026-06-08,https://solisforest.com/about,0,6,0,4.666666666666666,2026-06-10 03:00:04.544+00
e29859f5-9b8d-4750-b1c7-66f2fc1707cd,2026-06-08,https://solisforest.com/blog,0,1,0,2,2026-06-10 03:00:04.544+00
bb3f925b-a299-4944-9060-e19d9d158f09,2026-06-08,https://solisforest.com/ebooks,0,1,0,1,2026-06-10 03:00:04.544+00
bfc0f616-1725-4c47-bb1c-450e5e68ed7c,2026-06-08,https://solisforest.com/quiz,0,1,0,5,2026-06-10 03:00:04.544+00
9cf3c916-47f2-4a9e-ac19-07c0ef947f46,2026-06-09,https://solisforest.com/about,0,6,0,4.666666666666666,2026-06-11 03:00:03.501+00
47a36999-9241-41d6-ab1a-d9d5eb4b5faa,2026-06-09,https://solisforest.com/blog,0,1,0,2,2026-06-11 03:00:03.501+00
416b2173-ae41-4393-86cd-be971effb966,2026-06-09,https://solisforest.com/ebooks,0,1,0,1,2026-06-11 03:00:03.501+00
e1f63eaa-9ae7-451c-932d-470af358429f,2026-06-09,https://solisforest.com/quiz,0,1,0,5,2026-06-11 03:00:03.501+00
b4e17e5e-ac5d-46f4-ae63-3efb0e8728e7,2026-06-10,https://solisforest.com/about,0,6,0,4.666666666666666,2026-06-12 03:00:04.389+00
25891b2e-a121-498b-bf6b-e9ce80f31c29,2026-06-10,https://solisforest.com/blog,0,1,0,2,2026-06-12 03:00:04.389+00
528d7f61-cf1e-45dd-97d6-f8538f15c7f5,2026-06-10,https://solisforest.com/ebooks,0,1,0,1,2026-06-12 03:00:04.389+00
3d5e4d2b-ce5c-46c2-ba48-3817f7119393,2026-06-10,https://solisforest.com/quiz,0,1,0,5,2026-06-12 03:00:04.389+00
1f150400-e876-4934-b2a4-08b3dbb5a3fa,2026-06-11,https://solisforest.com/about,0,6,0,4.666666666666666,2026-06-13 03:00:04.732+00
cdf6006d-c9a0-4e40-b6d8-7c7b49858f81,2026-06-11,https://solisforest.com/blog,0,1,0,2,2026-06-13 03:00:04.732+00
f67dfb97-aa79-4593-aa15-ae5d06a9c3df,2026-06-11,https://solisforest.com/ebooks,0,1,0,1,2026-06-13 03:00:04.732+00
2a45885f-7c55-416b-93c3-a48580f31e56,2026-06-11,https://solisforest.com/quiz,0,1,0,5,2026-06-13 03:00:04.732+00
52e5f466-e4a6-404b-af17-d0680f4b85d4,2026-06-12,https://solisforest.com/about,0,6,0,4.666666666666666,2026-06-14 03:00:02.923+00
f9c03466-b8d8-404a-92e1-905caa02400c,2026-06-12,https://solisforest.com/blog,0,1,0,2,2026-06-14 03:00:02.923+00
ac3fc955-5b39-4305-8563-232be25ef75f,2026-06-12,https://solisforest.com/ebooks,0,1,0,1,2026-06-14 03:00:02.923+00
c45d3c08-333a-48ac-b2cc-ff7ed2daed80,2026-06-12,https://solisforest.com/quiz,0,1,0,5,2026-06-14 03:00:02.923+00
5855e221-2dba-4080-8598-7c0538a7a716,2026-06-13,https://solisforest.com/about,0,6,0,4.666666666666666,2026-06-15 03:00:04.701+00
c33c73a8-1132-4525-9516-09b23cd8deb5,2026-06-13,https://solisforest.com/blog,0,1,0,2,2026-06-15 03:00:04.701+00
2e66dacb-bb76-460f-8a1a-e192bb9da1ce,2026-06-13,https://solisforest.com/ebooks,0,1,0,1,2026-06-15 03:00:04.701+00
30246e54-88b1-4635-a86f-43e021da714b,2026-06-13,https://solisforest.com/quiz,0,1,0,5,2026-06-15 03:00:04.701+00
36b16733-b9a2-4f14-8875-ebceb3455866,2026-06-14,https://solisforest.com/about,0,6,0,4.666666666666666,2026-06-16 03:00:03.645+00
